,Date,Team 1,Team 1 Coach,Team 1 Formation,Team 1 Goals,Team 1 Value,Team 1 Tirs cadres,Team 1 Tirs non cadres,Team 1 Possession,Team 1 Passes,Team 1 Precision passes,Team 1 Fautes,Team 1 Cartons jaunes,Team 1 Cartons rouges,Team 1 HJ,Team 1 Corners,Team 2,Team 2 Coach,Team 2 Formation,Team 2 Goals,Team 2 Value,Team 2 Tirs cadres,Team 2 Tirs non cadres,Team 2 Possession,Team 2 Passes,Team 2 Precision passes,Team 2 Fautes,Team 2 Cartons jaunes,Team 2 Cartons rouges,Team 2 HJ,Team 2 Corners
,2021,Colombie,Rueda Rivera,4-4-2,1,114100000,2,3,41,343,77,19,3,0,2,1,Equateur,Alfaro,4-4-2,0,40900000,2,6,59,467,83,16,1,0,1,9
,2021,Argentine,Scaloni,4-3-3,1,351500000,5,13,48,349,81,14,2,0,2,7,Chili,Lasarte Arrospide,4-3-3,1,45250000,4,1,52,381,80,19,3,0,7,1
,2021,Paraguay,Berizzo,4-2-3-1,3,47900000,11,23,78,647,93,12,2,0,1,7,Bolivie,Farias Acosta,3-5-2,1,5700000,2,2,22,184,67,10,2,1,0,2
,2021,Colombie,Rueda Rivera,4-4-2,0,180800000,8,15,65,563,89,13,2,1,3,6,Venezuela,dos Santos Peseiro,5-4-1,0,11200000,0,2,35,301,72,14,5,0,0,3
,2021,Brésil,Bacchi,4-4-2,4,421000000,9,8,55,529,89,14,1,0,2,2,Pérou,Gareca Nardi,4-2-3-1,0,48275000,2,5,45,438,83,20,3,0,0,3
,2021,Chili,Lasarte Arrospide,4-3-3,1,48250000,11,7,62,660,88,6,1,0,1,6,Bolivie,Farias Acosta,4-4-2,0,5700000,3,7,38,413,84,7,2,0,2,2
,2021,Argentine,Scaloni,4-3-3,1,359000000,6,3,45,457,84,11,3,0,1,8,Uruguay,Tabarez Silva,4-4-2,0,230700000,0,4,55,552,86,21,2,0,0,3
,2021,Venezuela,dos Santos Peseiro,5-4-1,2,11200000,3,6,31,249,64,7,0,0,2,5,Equateur,Alfaro,4-4-2,2,37200000,7,12,69,551,87,15,3,0,1,5
,2021,Colombie,Rueda Rivera,4-2-3-1,1,137200000,4,8,59,516,84,13,1,0,1,4,Pérou,Gareca Nardi,4-2-3-1,2,43675000,3,8,41,364,77,12,2,0,2,3
,2021,Uruguay,Tabarez Silva,4-1-2-1-2,1,201700000,5,12,55,471,85,13,1,0,2,6,Chili,Lasarte Arrospide,3-4-1-2,1,44750000,1,6,45,416,82,15,1,0,5,2
,2021,Argentine,Scaloni,4-2-3-1,1,265500000,4,5,43,407,84,11,1,0,1,2,Paraguay,Berizzo,4-2-3-1,0,46900000,2,8,57,515,85,23,2,0,2,9
,2021,Equateur,Alfaro,4-4-1-1,2,39050000,6,10,58,427,79,19,1,0,1,13,Pérou,Gareca Nardi,4-2-3-1,2,45975000,4,3,42,332,76,11,1,0,3,0
,2021,Brésil,Bacchi,4-4-2,2,438000000,4,11,70,644,87,15,3,0,0,8,Colombie,Rueda Rivera,4-4-2,1,181500000,2,1,30,294,69,16,4,0,1,1
